id,time_board,time_offboard,onboard_lat,onboard_lon,offboard_lat,offboard_lon,date_board,date_offboard
920,00:06:58,00:07:00,37.3501,-121.939,37.3501,-121.939,2017-03-01,2017-03-01
922,19:00:35,19:00:56,37.3501,-121.939,37.3501,-121.939,2017-03-01,2017-03-01
923,19:01:11,19:01:35,37.3501,-121.939,37.3501,-121.939,2017-03-01,2017-03-01
924,19:47:07,19:51:41,37.3501,-121.939,37.3484,-121.941,2017-03-01,2017-03-01
925,19:59:38,19:59:39,37.3495,-121.941,37.3495,-121.941,2017-03-01,2017-03-01
926,20:06:35,20:08:55,37.3502,-121.939,37.3493,-121.941,2017-03-01,2017-03-01
927,20:33:10,20:37:36,37.3495,-121.941,37.3499,-121.93799999999999,2017-03-01,2017-03-01
928,21:41:11,21:44:00,37.3484,-121.941,37.3484,-121.941,2017-03-01,2017-03-01
1216,20:11:42,20:16:11,37.3502,-121.939,37.3496,-121.941,2017-03-02,2017-03-02
1217,20:11:56,20:16:11,37.3502,-121.939,37.3496,-121.941,2017-03-02,2017-03-02
1218,21:32:25,21:33:48,37.3501,-121.939,37.3501,-121.939,2017-03-02,2017-03-02
1219,21:32:25,21:33:46,37.3501,-121.939,37.3501,-121.939,2017-03-02,2017-03-02
1220,21:32:25,21:33:46,37.3501,-121.939,37.3501,-121.939,2017-03-02,2017-03-02
1221,21:45:44,21:46:19,37.35,-121.939,37.3502,-121.939,2017-03-02,2017-03-02
1222,18:41:05,18:41:18,37.3499,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1223,18:41:21,18:41:22,37.3499,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1224,18:41:20,18:41:22,37.3499,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1225,18:46:09,18:49:40,37.3498,-121.94,37.3498,-121.94,2017-03-03,2017-03-03
1226,18:46:09,18:49:39,37.3498,-121.94,37.3498,-121.94,2017-03-03,2017-03-03
1227,18:46:49,18:49:39,37.3498,-121.94,37.3498,-121.94,2017-03-03,2017-03-03
1228,18:50:32,18:53:36,37.3498,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1229,18:50:32,18:53:38,37.3498,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1230,18:50:37,18:53:39,37.3498,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1231,18:55:52,18:55:57,37.3499,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1232,18:55:56,18:58:08,37.3499,-121.94,37.3505,-121.94200000000001,2017-03-03,2017-03-03
1233,19:19:27,19:21:24,37.35,-121.94200000000001,37.3499,-121.94,2017-03-03,2017-03-03
1234,19:21:23,19:21:24,37.3499,-121.94,37.3499,-121.94,2017-03-03,2017-03-03
1235,19:39:24,19:43:00,37.3496,-121.941,37.3484,-121.941,2017-03-03,2017-03-03
1236,19:39:25,19:43:01,37.3496,-121.941,37.3484,-121.941,2017-03-03,2017-03-03
1237,19:39:25,19:43:00,37.3496,-121.941,37.3484,-121.941,2017-03-03,2017-03-03
1238,19:49:11,19:51:13,37.3484,-121.941,37.35,-121.941,2017-03-03,2017-03-03
1239,20:41:37,20:43:46,37.3494,-121.941,37.3484,-121.941,2017-03-03,2017-03-03
1240,20:09:03,20:13:39,37.3499,-121.93799999999999,37.3496,-121.941,2017-03-03,2017-03-03
1241,20:41:38,20:43:43,37.3494,-121.941,37.3484,-121.941,2017-03-03,2017-03-03
1242,20:03:56,20:13:39,37.3499,-121.93799999999999,37.3496,-121.941,2017-03-03,2017-03-03
1243,22:06:54,22:06:56,37.3482,-121.93799999999999,37.3482,-121.93799999999999,2017-03-03,2017-03-03
1244,22:06:55,22:06:57,37.3482,-121.93799999999999,37.3482,-121.93799999999999,2017-03-03,2017-03-03
1245,22:13:03,22:19:27,37.3501,-121.939,37.3498,-121.935,2017-03-03,2017-03-03
1246,22:13:04,22:19:25,37.3501,-121.939,37.3498,-121.935,2017-03-03,2017-03-03
1249,19:17:03,19:21:58,37.3501,-121.939,37.3483,-121.941,2017-03-06,2017-03-06
1250,20:11:37,20:13:17,37.3497,-121.94,37.3495,-121.941,2017-03-06,2017-03-06
1260,21:22:31,21:22:33,37.351,-121.93799999999999,37.351,-121.93799999999999,2017-03-06,2017-03-06
1261,21:28:19,21:32:34,37.3496,-121.94,37.3484,-121.941,2017-03-06,2017-03-06
1262,21:28:20,21:32:33,37.3496,-121.94,37.3484,-121.941,2017-03-06,2017-03-06
1263,21:28:27,21:32:32,37.3496,-121.94,37.3484,-121.941,2017-03-06,2017-03-06
1264,22:26:04,22:31:19,37.3501,-121.939,37.3484,-121.941,2017-03-06,2017-03-06
1265,22:26:05,22:31:19,37.3501,-121.939,37.3484,-121.941,2017-03-06,2017-03-06
1266,23:19:03,23:22:32,37.3501,-121.939,37.3485,-121.941,2017-03-06,2017-03-06
1267,23:19:04,23:28:37,37.3501,-121.939,37.3488,-121.93799999999999,2017-03-06,2017-03-06
1274,00:11:18,00:26:19,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1275,00:11:19,00:11:34,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1276,00:11:34,00:26:20,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1331,20:08:05,20:21:53,37.3501,-121.94200000000001,37.3504,-121.93799999999999,2017-03-07,2017-03-07
1344,22:02:31,22:09:42,37.3498,-121.941,37.3494,-121.941,2017-03-07,2017-03-07
1345,22:02:32,22:09:42,37.3498,-121.941,37.3494,-121.941,2017-03-07,2017-03-07
1346,22:09:49,22:37:45,37.3494,-121.941,37.3492,-121.941,2017-03-07,2017-03-07
1347,22:09:50,22:37:45,37.3494,-121.941,37.3492,-121.941,2017-03-07,2017-03-07
1348,22:09:50,22:37:46,37.3494,-121.941,37.3492,-121.941,2017-03-07,2017-03-07
1349,23:09:49,23:14:21,37.3494,-121.941,37.3498,-121.94,2017-03-07,2017-03-07
